entry,dist,date,feedname,feed,title
LATimes|19887,0.8766806255619903,2015-11-19,LATimes,3,Gov. Jerry Brown asks White House for more information on refugees
BostonHerald|14895,0.7122255601634365,2015-11-14,BostonHerald,0,Rob Lowe mocks France on Twitter amidst deadly attacks
USAToday|7800,0.6580289291063979,2015-11-18,USAToday,7,"Anonymous, 'hunters' claim to thwart IS online"
StLouisPost|16457,0.7892880535701342,2015-11-16,StLouisPost,6,Obama heads for Asia with eyes on Middle East
NYPost|16303,0.8910381686239458,2015-11-20,NYPost,4,Real-estate exec: Skelos badgered me to give his son a job
NYPost|16031,0.7557213805315425,2015-11-18,NYPost,4,"Bomb in soda can took down plane over Egypt, ISIS claims"
WashingtonPost|6133,0.9480218384617992,2015-11-20,WashingtonPost,9,Why Missouri might be the next big battleground in the right-to-work debate
StLouisPost|16276,0.6771066246723563,2015-11-14,StLouisPost,6,Paris attacks may lead to US military anti-IS escalation
StLouisPost|16634,0.9138208369001137,2015-11-17,StLouisPost,6,Foreign holdings of US Treasury securities rise in September
USAToday|7829,0.8310332055600111,2015-11-19,USAToday,7,Trump: Syrian refugees prove need for border wall
BostonHerald|15716,0.75880275891511,2015-11-20,BostonHerald,0,Russian military says its bombing sharply cut IS oil incomes
NYPost|16239,0.8158076709958233,2015-11-19,NYPost,4,Ben Carson compares Syrian refugees to ‘rabid dogs’
StLouisPost|17050,0.9882814167447228,2015-11-20,StLouisPost,6,Bipartisan agreement on bill to rework No Child Left Behind
LATimes|19214,0.9595453188085766,2015-11-16,LATimes,3,"Ted Cruz: From fringe to presidential material, thanks in part to Donald Trump"
NYTimes|5339,0.6876040837631087,2015-11-17,NYTimes,5,"Where ISIS Claims It Has Struck, and Why"
NYPost|15850,0.9338894032339241,2015-11-17,NYPost,4,Hillary will take on wealthy special interests — but not before taking their cash
WallStreetJournal|2320,0.7052003398392489,2015-11-19,WallStreetJournal,8,Critics of Malaysian Government Cite Censorship Pressure
USAToday|7726,0.789081012035609,2015-11-17,USAToday,7,"Paris attacks reignite debate over encryption, surveillance and privacy"
NYTimes|5236,0.6806169691438231,2015-11-14,NYTimes,5,Paris Attacks to Dominate Agenda at G-20 Conference in Turkey
NYPost|15483,0.7801532930873583,2015-11-14,NYPost,4,Netanyahu nails it: The enemy is ‘medievalism’
BostonHerald|15169,0.6475140598662644,2015-11-16,BostonHerald,0,"The Latest: Belgian prosecutors free 5, charge 2 with terror"
NYTimes|5273,0.8283615563929859,2015-11-15,NYTimes,5,Efforts to Rein In Arbitration Come Under Well-Financed Attack
StLouisPost|17094,0.6747973779173786,2015-11-20,StLouisPost,6,US military probe concludes civilian deaths in Iraq strike
WallStreetJournal|2312,0.6489455697506032,2015-11-19,WallStreetJournal,8,Europe Struggles to Thwart Islamist Radicalization
StLouisPost|16735,0.8173583142933354,2015-11-18,StLouisPost,6,"Carter pushing retirement, other changes for future force"
USAToday|7546,0.6228659398327149,2015-11-14,USAToday,7,Paris attacks signal ISIS global aspirations
USAToday|7589,0.6419390331850848,2015-11-15,USAToday,7,Syrian passport in Paris sparks refugee crisis questions
USAToday|7846,0.7927028741380625,2015-11-19,USAToday,7,Iraeli spy Pollard set for release
WashingtonPost|6130,0.9369912007104559,2015-11-20,WashingtonPost,9,Why today's college students don't want to be teachers
WallStreetJournal|2267,0.8491705717902805,2015-11-17,WallStreetJournal,8,"Trade Pact to Enhance U.S.-Canada Trade, U.S. Envoy Says"
LATimes|19114,0.9547748212429693,2015-11-15,LATimes,3,Three key areas that give Republicans trouble in California
NYPost|15566,0.8473399226771919,2015-11-15,NYPost,4,Why Hillary has a Martha Stewart problem — and why she’s likely safe
StLouisPost|16880,0.7868503167971984,2015-11-19,StLouisPost,6,House GOP bill would bolster checks on Syrian refugees
WashingtonPost|5831,0.801092644584891,2015-11-14,WashingtonPost,9,Paris massacre could alter the 2016 presidential race in this country
LATimes|19841,0.7176108085788827,2015-11-19,LATimes,3,Hillary Clinton calls for increased U.S. ground forces to combat ISIS
LATimes|19652,0.8957800047172975,2015-11-18,LATimes,3,"California tax board mishandled money, state controller's audit finds"
WallStreetJournal|2195,0.6736813640578536,2015-11-14,WallStreetJournal,8,Diplomats Gather in Vienna for Syria Talks
NYTimes|5452,0.8023118594902536,2015-11-19,NYTimes,5,"House Approves Tougher Refugee Screening, Defying Veto Threat"
WashingtonPost|5986,0.7906344181446027,2015-11-17,WashingtonPost,9,"In a major step on the road to Paris, rich countries agree to slash export subsidies for coal plants"
StLouisPost|16366,0.7788958051988433,2015-11-16,StLouisPost,6,"Rubio: Israel, Europe, US in same fight against terrorism"
ChicagoTribune|5267,0.9509148309954867,2015-11-15,ChicagoTribune,1,"Madigan can't attend budget summit, Rauner postpones it"
WashingtonPost|6056,0.9688016460168575,2015-11-19,WashingtonPost,9,Moody's: Colleges have entered the new normal of flat tuition revenue
DailyNews|13819,0.9004428454870897,2015-11-17,DailyNews,2,For-profit college biz slapped for deceiving students
ChicagoTribune|5266,0.9421621769115958,2015-11-15,ChicagoTribune,1,Live updates: Start of Democratic debate focuses on national security in wake of Paris attacks
LATimes|19295,0.9005844197875291,2015-11-16,LATimes,3,"USC has second most foreign students in nation, again"
StLouisPost|16820,0.9756540696322147,2015-11-18,StLouisPost,6,House bill would limit some calorie labels
LATimes|19770,0.8577551473576995,2015-11-19,LATimes,3,Essential Politics: Congress to vote on refugees
USAToday|7899,0.8791166868417403,2015-11-20,USAToday,7,Hillary Clinton slams Trump over Muslim database plan
DailyNews|13737,0.9319459444837647,2015-11-16,DailyNews,2,Racial tension at University of Kansas growing
StLouisPost|16653,0.9421713914043225,2015-11-17,StLouisPost,6,EPA intends tougher downwind air-pollution rule in 23 states
WallStreetJournal|2318,0.6460571974450683,2015-11-19,WallStreetJournal,8,Islamic State Seen Changing Tactics
LATimes|19147,0.8101396828033504,2015-11-15,LATimes,3,"In Iowa, Democrats debate how to handle  ISIS in wake of Paris terrorist attacks"
DailyNews|13995,0.9178533616709662,2015-11-18,DailyNews,2,Patriotic hijab-clad Muslim American slams Trump
USAToday|7865,0.7117531720517675,2015-11-19,USAToday,7,Tensions rise over Syrians crossing southwest U.S. border
LATimes|19788,0.7106861541673931,2015-11-19,LATimes,3,"Allowing Bashar Assad to continue leading Syria is 'unimaginable,' Obama says"
NYTimes|5338,0.802329369866201,2015-11-17,NYTimes,5,First Draft: Trump Questions Whether Syrian Refugees Are ‘Trojan Horse’
LATimes|19069,0.5522476764620858,2015-11-14,LATimes,3,Paris attacks: What is the sensible response to this horrific act?
WallStreetJournal|2197,0.6236559136938199,2015-11-14,WallStreetJournal,8,Attacks Shatter Sense of Western Success in Extremism Fight
LATimes|20131,0.7486164726782765,2015-11-20,LATimes,3,President Obama says Mali attack stiffens resolve against terrorism
NYPost|16100,0.64038950083957,2015-11-19,NYPost,4,France’s president has always been far tougher than Obama
USAToday|7731,0.8661112645443849,2015-11-17,USAToday,7,Senators question Veterans Affairs' watchdog nominee
USAToday|7575,0.8413950910818214,2015-11-14,USAToday,7,"With Paris in mind, pre-debate rallies toned down"
USAToday|7533,0.952830526871167,2015-11-14,USAToday,7,Democratic debate: What to look for from each candidate
WallStreetJournal|2239,0.7456413334651888,2015-11-16,WallStreetJournal,8,Security Issues Threaten Global Economy
NYPost|15594,0.9675213569360605,2015-11-15,NYPost,4,Raising minimum wage would cost a million people their jobs
StLouisPost|16717,0.7895374632652516,2015-11-18,StLouisPost,6,Olympic athlete calls for all sports to be investigated
LATimes|19991,0.7536116062974298,2015-11-20,LATimes,3,"They're Syrian refugees, not political pawns"
StLouisPost|16889,0.837719475693026,2015-11-19,StLouisPost,6,Bill Clinton to speak at Dayton Peace Accords anniversary
WashingtonPost|6166,0.6791478195374421,2015-11-20,WashingtonPost,9,U.S. military investigation: Civilians in Iraq likely killed in A-10 airstrike
WashingtonPost|5871,0.6701039600060494,2015-11-16,WashingtonPost,9,France’s Muslims fear fresh backlash after terrorist attacks
WashingtonPost|5862,0.9680500708566852,2015-11-16,WashingtonPost,9,"Congress poised for rare success, dodges gas take hike to pay for roads"
WallStreetJournal|2251,0.673168099697819,2015-11-17,WallStreetJournal,8,Brussels District Is Home to Some Suspects in Paris Attacks
NYPost|15680,0.9709350122712859,2015-11-16,NYPost,4,De Blasio is desperate for recognition
LATimes|19485,0.7834923784503496,2015-11-17,LATimes,3,Speaker Paul Ryan wants House vote this week to 'pause' Syrian-refugee resettlement
USAToday|7647,0.861312469578721,2015-11-16,USAToday,7,Governors have little power to block refugees
NYPost|16059,0.898807674569039,2015-11-18,NYPost,4,Assembly candidate arrested for not filing finance reports
StLouisPost|16990,0.769027536265711,2015-11-19,StLouisPost,6,UN committee OKs resolution slamming Syria on human rights
StLouisPost|16768,0.8561171059531446,2015-11-18,StLouisPost,6,Obama promotes trade deal in Asia
USAToday|7579,0.8585556847217406,2015-11-15,USAToday,7,Six takeaways from the second Democratic debate
WallStreetJournal|2274,0.7618619754437911,2015-11-17,WallStreetJournal,8,Argentine Police Raid Central Bank
LATimes|19415,0.672531914078991,2015-11-17,LATimes,3,Time to draw a 'red line' against the barbarism of Islamic State'
WashingtonPost|5827,0.6618767230480436,2015-11-14,WashingtonPost,9,Why the Paris attacks could mark the beginning of the end for ISIS
NYPost|16229,0.6402282973683723,2015-11-19,NYPost,4,No credible threat of any Paris-type attack in US: FBI director
ChicagoTribune|5387,0.7162778424860006,2015-11-18,ChicagoTribune,1,Obama: GOP posturing on Syria refugees 'needs to stop'
StLouisPost|16697,0.9568376532621936,2015-11-18,StLouisPost,6,Rick Perry indictment goes before Texas' top criminal court
StLouisPost|16514,0.7655268284221936,2015-11-17,StLouisPost,6,Obama arrives in Philippines on trip to solidify Asia ties
NYPost|15534,0.8928481788706699,2015-11-14,NYPost,4,Little-known hedgie plays hardball with Puerto Rico’s debt
StLouisPost|17101,0.7068151590578378,2015-11-20,StLouisPost,6,UN to vote on resolution condemning Islamic State attacks
ChicagoTribune|5430,0.7884053997755092,2015-11-18,ChicagoTribune,1,Rauner administration won't say if it's cut off services to Syrian refugees
WashingtonPost|5935,0.7980850161068191,2015-11-17,WashingtonPost,9,How Republican governors could again make life miserable for Syrian refugees
DailyNews|13718,0.6618177372918955,2015-11-16,DailyNews,2,5 Yemeni detainees moved from Guantanamo Bay to the Emirates
LATimes|19990,0.669020957398828,2015-11-20,LATimes,3,Hollande's war talk gives Islamic State what it wants most
WashingtonPost|5918,0.7620844653499359,2015-11-16,WashingtonPost,9,Why the GOP disagreement with Obama on Syria is less than it appears
DailyNews|13978,0.761706524901553,2015-11-18,DailyNews,2,Advisers claim Carson struggles with foreign policy: report
WashingtonPost|5852,0.6782913363424609,2015-11-15,WashingtonPost,9,Should we really close the border to refugees? Here's why fear drives out compassion.
WashingtonPost|6040,0.9390655431868725,2015-11-18,WashingtonPost,9,"In a year of Trump and Carson, GOP governors struggle in presidential race"
USAToday|7771,0.9763746587024444,2015-11-18,USAToday,7,"Now that Jindal is out, Trump thinks he's a ""nice guy"""
StLouisPost|16301,0.9474240480663271,2015-11-15,StLouisPost,6,AP FACT CHECK: Sanders on 1 percent; Clinton on health law
StLouisPost|16491,0.9032225166897095,2015-11-16,StLouisPost,6,"Willie Mays, Yogi Berra among Medal of Freedom honorees"
WashingtonPost|5821,0.5185727795767479,2015-11-14,WashingtonPost,9,"Caught between internal and external terror threats, France struggles to cope"
NYPost|16098,0.8794188302879784,2015-11-19,NYPost,4,The putrid push to politicize the Syrian-refugee debate
StLouisPost|17054,0.7802507017358797,2015-11-20,StLouisPost,6,Bush and Clinton seek to grab leadership mantle after Paris
LATimes|19263,0.6325401377509072,2015-11-16,LATimes,3,Paris attacks: What can France do to battle homegrown terrorism?
WashingtonPost|6068,0.9628317760730037,2015-11-19,WashingtonPost,9,O’Malley’s presidential campaign is perilously close to financial collapse
StLouisPost|16842,0.8753220215409674,2015-11-19,StLouisPost,6,Bill Clinton: 'Make something good happen' after attacks
LATimes|19981,0.9508338547985355,2015-11-19,LATimes,3,"Hillary Clinton,  Bernie Sanders talk Islamic State"
NYPost|15731,0.7435663571148162,2015-11-16,NYPost,4,Paris attacks ‘terrible and sickening’ setback in ISIS campaign: Obama
WashingtonPost|5848,0.8570513837712468,2015-11-15,WashingtonPost,9,"Seven key questions on immigration, and how top GOP candidates answer"
StLouisPost|16471,0.9570592888977014,2015-11-16,StLouisPost,6,Iowa Rep. Steve King endorses Ted Cruz for president
LATimes|19333,0.8265018252102708,2015-11-16,LATimes,3,Momentum builds among states to reject Syrian refugees after Paris attacks
StLouisPost|16737,0.9139664250947342,2015-11-18,StLouisPost,6,Some workers plan to strike tonight at seven major airports
LATimes|19517,0.874208670571219,2015-11-17,LATimes,3,"85,000 additional Corinthian students to get fast-track debt relief"
NYPost|16250,0.7848848347467655,2015-11-20,NYPost,4,New York can’t risk taking in Syrian refugees
WashingtonPost|5936,0.8872849285327502,2015-11-17,WashingtonPost,9,"Most Americans say Islam is ""at odds"" with American values"
StLouisPost|16734,0.9536093195380666,2015-11-18,StLouisPost,6,High priority models in Takata air bag inflator recall
BostonHerald|15457,0.6911973761934924,2015-11-18,BostonHerald,0,"IS militants dig in, anticipating assault on Syria&#039;s Raqqa"
USAToday|7718,0.9477839125570316,2015-11-17,USAToday,7,Koch group spent $129 million last year
WallStreetJournal|2214,0.679005395587798,2015-11-15,WallStreetJournal,8,Paris Attacks Transform Debate on Migrant Crisis
LATimes|19176,0.9179286639708081,2015-11-16,LATimes,3,John Dickerson keeps Democratic debate on track despite last-minute shuffle
BostonHerald|15221,0.5871761096165735,2015-11-16,BostonHerald,0,Kerry in Paris to show US support for France after attacks
NYTimes|5436,0.5523231313578055,2015-11-19,NYTimes,5,Attacks Highlight Jihadists’ Easy Path to Syria and Back
DailyNews|14018,0.6535321834395704,2015-11-18,DailyNews,2,ISIS rates best apps for terrorist communications online
StLouisPost|16367,0.7096223405442672,2015-11-16,StLouisPost,6,UAE takes 5 Yemeni prisoners freed by US from Guantanamo
StLouisPost|16453,0.7547856240330181,2015-11-16,StLouisPost,6,US says it destroyed 116 Islamic State fuel trucks
StLouisPost|16265,0.73620986437983,2015-11-14,StLouisPost,6,The Latest: Diplomats set plan for political change in Syria
StLouisPost|17071,0.8179511142588626,2015-11-20,StLouisPost,6,'Negative meaning' forces school to rename ISIS registration
WallStreetJournal|2289,0.7798284843348681,2015-11-18,WallStreetJournal,8,Response to Egypt Crash Strains Allies
LATimes|19647,0.7247621546253772,2015-11-18,LATimes,3,"Amid turmoil, international track officials will name top athletes but won't hold award gala"
WashingtonPost|5923,0.6810005806365036,2015-11-17,WashingtonPost,9,World’s richest nations agree hacking for commercial benefit is off-limits
DailyNews|14101,0.7422033214379729,2015-11-19,DailyNews,2,Boko Haram is deadliest terror group in the world: report
USAToday|7561,0.6401303074706176,2015-11-14,USAToday,7,Paris attacks fuel concerns in European migrant debate
USAToday|7793,0.8977976201583657,2015-11-18,USAToday,7,Done with Donald? Enter the Trump-free zone
BostonHerald|15262,0.6806442556320833,2015-11-17,BostonHerald,0,Hackers declare war on ISIS
LATimes|19264,0.6988023900623902,2015-11-16,LATimes,3,Obama fights back against critics of his Islamic State strategy
StLouisPost|16525,0.5876923367280386,2015-11-17,StLouisPost,6,"Risk is lower, but Paris attacks could happen here"
WashingtonPost|6108,0.7833160251054704,2015-11-19,WashingtonPost,9,"After dying while fighting the Islamic State in Syria, Canadian will receive a hero's tribute"
NYPost|15998,0.9091773789547875,2015-11-18,NYPost,4,"Pay hikes eyed for NY judges, lawmakers"
USAToday|7863,0.823115959986057,2015-11-19,USAToday,7,"Carson: Reduce poverty? Cut regulations, national debt"
LATimes|19953,0.9497011113124761,2015-11-19,LATimes,3,Latin Grammy moment: Maná and Los Tigres del Norte hold up sign -- 'Don't vote for racists'
NYPost|15896,0.8052383068973193,2015-11-17,NYPost,4,Paul Ryan calls for halt on Syrian refugees coming to US
DailyNews|14259,0.909989242383668,2015-11-20,DailyNews,2,Gov. Chris Christie threatened aboard plane: reports
NYPost|15957,0.706486626230766,2015-11-18,NYPost,4,Uncle Sam’s ‘screening’ of Syria refugees is a pathetic joke
USAToday|7859,0.8167533837873021,2015-11-19,USAToday,7,Lawmakers got suspect Turkish campaign cash
WallStreetJournal|2207,0.6974619463213391,2015-11-14,WallStreetJournal,8,Terror Strike Prompts Debate on Further Intervention on Syria
BostonHerald|15178,0.7028765842727033,2015-11-16,BostonHerald,0,Obama: Large US troop deployment against IS &#039;a mistake&#039;
LATimes|19021,0.9573822711353716,2015-11-14,LATimes,3,How well-intentioned progressives created the need for charter schools
LATimes|20064,0.8500117759644951,2015-11-20,LATimes,3,Essential Politics: Spotlight on foreign policy
BostonHerald|14905,0.6426777765258987,2015-11-14,BostonHerald,0,Paris attacks reaction: Germany to help hunt terrorists
NYTimes|5321,0.5554822947304887,2015-11-16,NYTimes,5,"After Paris Attacks, C.I.A. Director Rekindles Debate Over Surveillance"
StLouisPost|16702,0.9644899769951926,2015-11-18,StLouisPost,6,Louisiana Gov. Jindal ends bid for GOP nomination in 2016
StLouisPost|16602,0.9301111052134602,2015-11-17,StLouisPost,6,Michelle Obama to award 13 youth arts programs
DailyNews|13959,0.9434494440034908,2015-11-18,DailyNews,2,De Blasio's approval rating continues to drop
DailyNews|13916,0.9422297429653762,2015-11-17,DailyNews,2,Louisiana Gov. Bobby Jindal ends presidential campaign
StLouisPost|16922,0.765065232855177,2015-11-19,StLouisPost,6,Russia set to miss world indoors as IAAF sets report date
StLouisPost|16875,0.732906685699295,2015-11-19,StLouisPost,6,Trudeau says Canada will stay in fight against Islamic State
LATimes|19309,0.6392166416900809,2015-11-16,LATimes,3,PBS explores 'ISIS in Afghanistan' in 'Frontline' documentary
StLouisPost|16604,0.9645170115505887,2015-11-17,StLouisPost,6,US pension insurer posts record deficit for FY2015
WashingtonPost|6137,0.8244671560840076,2015-11-20,WashingtonPost,9,What refugees to America looked like over the past 400 years
USAToday|7580,0.8062616071771499,2015-11-14,USAToday,7,"Analysis: From tragedy, a changed 2016 campaign"
